"CÓDIGO
DO FUNDO",SETOR,PREÇO ATUAL,LIQUIDEZ DIÁRIA,DIVIDENDO,"DIVIDEND
YIELD","DY (3M)
ACUMULADO","DY (6M)
ACUMULADO","DY (12M)
ACUMULADO","DY (3M)
MÉDIA","DY (6M)
MÉDIA","DY (12M)
MÉDIA",DY ANO,VARIAÇÃO PREÇO,"RENTAB.
PERÍODO","RENTAB.
ACUMULADA","PATRIMÔNIO
LÍQ.",VPA,P/VPA,"DY
PATRIMONIAL","VARIAÇÃO
PATRIMONIAL","RENTAB. PATR.
NO PERÍODO","RENTAB. PATR.
ACUMULADA","VACÂNCIA
FÍSICA","VACÂNCIA
FINANCEIRA","QUANTIDADE
ATIVOS"
GAME11,Híbrido,"R$ 9,53", 33237.0 ,"R$ 0,10","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,10","-0,02","-0,01","-0,03","R$ 200.741.512,26","R$ 9,74","0,98","1,03%","0,88%","1,92%","-98,89%",N/A,N/A,0
VIUR11,Títulos e Val. Mob.,"R$ 8,15", 52280.0 ,"R$ 0,07","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,20","0,21","-0,88","R$ 255.344.132,45","R$ 9,48","0,86","0,76%","0,15%","0,91%","-89,59%","0,00",N/A,6
GALG11,Híbrido,"R$ 9,65", 113172.0 ,"R$ 0,08","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","-0,89","-0,89","-0,89","R$ 581.925.634,33","R$ 10,12","0,95","0,81%","-89,99%","-89,91%","-89,55%","0,00","0,00",6
XPSF11,Outros,"R$ 7,82", 45597.0 ,"R$ 0,08","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,10","0,11","-0,89","R$ 387.836.157,83","R$ 8,96","0,87","0,84%","5,23%","6,11%","-89,17%",N/A,N/A,0
ARRI11,Títulos e Val. Mob.,"R$ 8,96", 15024.0 ,"R$ 0,11","0,01","0,04","0,08","0,16","0,01","0,01","0,01","0,11","-0,90","-0,90","-0,90","R$ 109.353.015,33","R$ 9,28","0,97","1,19%","-89,95%","-89,83%","-89,11%",N/A,N/A,0
VIFI11,Títulos e Val. Mob.,"R$ 7,62", 32431.0 ,"R$ 0,06","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,09","0,10","0,03","R$ 76.060.116,27","R$ 9,40","0,81","0,64%","8,13%","8,82%","-68,37%",N/A,N/A,0
MGLG11,Logística,"R$ 42,73", 1032.0 ,"R$ 0,16","0,00","0,03","0,06","0,12","0,01","0,01","0,01","0,09","0,14","0,14","-0,06","R$ 73.878.512,61","R$ 39,13","1,09","0,41%","0,01%","0,42%","-49,44%","0,00",N/A,3
RNDP11,Títulos e Val. Mob.,"R$ 295,00", 4.0 ,"R$ 2,39","0,01","0,03","0,06","0,10","0,01","0,01","0,01","0,07","-0,09","-0,08","-0,46","R$ 34.834.301,27","R$ 324,10","0,91","0,74%","-16,02%","-15,40%","-48,87%",N/A,N/A,0
BBIM11,Títulos e Val. Mob.,N/A, N/A ,"R$ 0,25","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 32.291.201,79","R$ 31,20",N/A,"0,80%","-27,90%","-27,33%","-31,49%",N/A,N/A,0
RBVO11,Outros,"R$ 11,18", 501.0 ,"R$ 0,04","0,00","0,01","0,02","0,04","0,00","0,00","0,00","0,02","-0,03","-0,02","-0,10","R$ 8.833.620,95","R$ 17,13","0,65","0,23%","-1,11%","-0,88%","-23,82%",N/A,N/A,0
RBCO11,Lajes Corporativas,"R$ 42,43", 8011.0 ,"R$ 0,25","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,14","0,15","-0,15","R$ 322.807.887,59","R$ 85,42","0,5","0,29%","0,00%","0,29%","-12,41%","0,46","0,50",4
CBOP11,Lajes Corporativas,"R$ 60,10", 991.0 ,"R$ 0,49","0,01","0,03","0,06","0,14","0,01","0,01","0,01","0,07","-0,01","0,00","-0,11","R$ 107.636.944,40","R$ 76,07","0,79","0,64%","-0,53%","0,11%","-11,28%","0,34","0,31",1
PLRI11,Títulos e Val. Mob.,"R$ 27,16", 135.0 ,"R$ 0,09","0,00","0,02","0,03","0,11","0,01","0,01","0,01","0,09","-0,01","0,00","-0,19","R$ 33.074.729,32","R$ 34,66","0,78","0,26%","-0,63%","-0,37%","-11,14%",N/A,N/A,0
BRLA11,Híbrido,"R$ 150,00", 334.0 ,"R$ 1,09","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,09","0,09","0,14","R$ 379.116.262,56","R$ 157,99","0,95","0,69%","-0,13%","0,56%","-10,38%",N/A,N/A,0
IDFI11,Híbrido,"R$ 69,73", 290.0 ,"R$ 0,91","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,11","-0,09","-0,08","-0,18","R$ 180.214.602,95","R$ 87,57","0,8","1,48%","-7,89%","-6,53%","-10,00%",N/A,N/A,0
MGHT11,Hotel,"R$ 69,39", 555.0 ,"R$ 0,80","0,01","0,04","0,07","0,12","0,01","0,01","0,01","0,09","0,06","0,07","-0,15","R$ 113.860.987,10","R$ 86,67","0,8","0,90%","-10,30%","-9,49%","-7,85%",N/A,N/A,0
XPPR11,Outros,"R$ 46,53", 9976.0 ,"R$ 0,30","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,06","0,06","0,07","-0,17","R$ 555.483.607,84","R$ 75,93","0,61","0,40%","-0,65%","-0,26%","-3,32%","0,46","0,00",4
BLMG11,Logística,"R$ 85,85", 8437.0 ,"R$ 0,80","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,11","0,12","-0,03","R$ 351.417.258,89","R$ 92,22","0,93","0,87%","0,83%","1,70%","-3,10%","0,00","0,00",4
BRCR11,Híbrido,"R$ 68,65", 37296.0 ,"R$ 0,47","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,05","0,21","0,22","0,09","R$ 2.689.411.478,04","R$ 100,96","0,68","0,47%","-0,54%","-0,08%","-2,46%","0,21","0,26",15
CXCE11B,Outros,"R$ 40,09", 154.0 ,"R$ 0,36","0,01","0,03","0,05","0,11","0,01","0,01","0,01","0,07","0,07","0,08","-0,06","R$ 111.425.979,36","R$ 65,05","0,62","0,55%","0,08%","0,63%","-2,28%","0,00",N/A,1
MCHF11,Títulos e Val. Mob.,"R$ 9,32", 151339.0 ,"R$ 0,11","0,01","0,04","0,07","0,00","0,01","0,01","0,00","0,09","0,02","0,03","0,05","R$ 312.636.898,43","R$ 9,68","0,96","1,24%","-1,04%","0,18%","-2,08%",N/A,N/A,0
FIIP11B,Logística,"R$ 163,03", 534.0 ,"R$ 1,35","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,07","0,13","0,14","0,10","R$ 172.744.337,51","R$ 186,32","0,88","0,72%","0,09%","0,82%","-1,96%","0,00",N/A,7
XPCM11,Lajes Corporativas,"R$ 18,29", 9540.0 ,"R$ 0,12","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,07","0,08","-0,18","R$ 127.310.569,38","R$ 52,73","0,35","0,23%","-0,47%","-0,25%","-1,55%","1,00",N/A,1
CXTL11,Logística,"R$ 378,00", 25.0 ,"R$ 0,48","0,00","0,01","0,01","0,00","0,00","0,00","0,00","0,00","-0,06","-0,06","-0,06","R$ 37.028.053,28","R$ 690,86","0,55","0,04%","-1,61%","-1,57%","-1,46%","0,61",N/A,3
RBRS11,Híbrido,"R$ 62,42", 59.0 ,"R$ 0,40","0,01","0,02","0,05","0,08","0,01","0,01","0,01","0,06","0,10","0,10","-0,02","R$ 155.517.301,68","R$ 89,67","0,7","0,45%","-1,23%","-0,79%","-0,93%",N/A,N/A,0
HSLG11,Logística,"R$ 96,20", 7494.0 ,"R$ 0,69","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,06","0,14","0,14","0,13","R$ 1.333.601.659,22","R$ 105,34","0,91","0,66%","-0,10%","0,55%","-0,89%","0,01",N/A,5
GCFF11,Títulos e Val. Mob.,"R$ 72,45", 720.0 ,"R$ 0,76","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,07","0,03","0,04","-0,04","R$ 30.096.700,62","R$ 88,89","0,82","0,88%","-2,44%","-1,58%","-0,77%",N/A,N/A,0
IBFF11,Títulos e Val. Mob.,"R$ 66,40", 1924.0 ,"R$ 0,30","0,00","0,02","0,05","0,10","0,01","0,01","0,01","0,05","0,08","0,08","0,20","R$ 48.361.846,89","R$ 72,54","0,92","0,69%","-1,95%","-1,28%","-0,61%",N/A,N/A,0
VCRI11,,"R$ 8,97", 43920.0 ,"R$ 0,12","0,01","0,05","0,00","0,00","0,02","0,00","0,00","0,05","-0,03","-0,02","0,00","R$ 173.099.968,69","R$ 9,74","0,92","1,23%","-0,25%","0,98%","-0,25%",N/A,N/A,0
HAAA11,Lajes Corporativas,"R$ 94,78", 21.0 ,"R$ 0,54","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","-0,02","-0,01","-0,03","R$ 312.405.497,72","R$ 90,42","1,05","0,60%","0,49%","1,09%","0,02%","0,17",N/A,1
NCHB11,Títulos e Val. Mob.,"R$ 92,90", 4511.0 ,"R$ 1,35","0,01","0,04","0,07","0,15","0,01","0,01","0,01","0,10","0,01","0,03","0,07","R$ 145.634.941,26","R$ 90,92","1,02","1,48%","-4,58%","-3,16%","0,06%",N/A,N/A,0
RDPD11,Títulos e Val. Mob.,"R$ 49,92", 1125.0 ,"R$ 0,61","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,09","0,01","0,03","-0,01","R$ 58.853.145,42","R$ 54,59","0,91","1,12%","-1,60%","-0,50%","0,20%",N/A,N/A,0
CORM11,Híbrido,"R$ 81,00", 412.0 ,"R$ 0,77","0,01","0,03","0,05","0,11","0,01","0,01","0,01","0,06","-0,03","-0,02","-0,04","R$ 92.123.992,72","R$ 90,56","0,89","0,89%","-2,33%","-1,45%","0,21%",N/A,N/A,0
ATSA11,Shoppings,"R$ 84,00", 1.0 ,"R$ 0,25","0,00","0,01","0,01","0,03","0,00","0,00","0,00","0,00","0,01","0,01","0,01","R$ 157.775.604,53","R$ 90,10","0,93","0,06%","0,19%","0,24%","0,24%","0,22",N/A,1
PQDP11,Shoppings,"R$ 2.336,00", 100.0 ,"R$ 17,87","0,01","0,03","0,04","0,09","0,01","0,01","0,01","0,05","0,13","0,14","0,16","R$ 815.397.327,57","R$ 3.321,20","0,7","0,43%","-1,05%","-0,63%","0,27%","0,04",N/A,1
EDGA11,Lajes Corporativas,"R$ 20,50", 212.0 ,"R$ 0,09","0,00","0,02","0,05","0,07","0,01","0,01","0,01","0,05","0,09","0,10","-0,04","R$ 252.351.519,37","R$ 66,20","0,31","0,26%","-0,06%","0,20%","0,36%","0,49",N/A,1
RBRD11,Híbrido,"R$ 40,05", 1835.0 ,"R$ 0,30","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,08","0,10","0,10","0,05","R$ 127.979.071,39","R$ 69,11","0,58","0,43%","-0,52%","-0,09%","0,52%","0,16",N/A,4
MATV11,Títulos e Val. Mob.,"R$ 95,99", 1.0 ,"R$ 1,10","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,09","-0,03","-0,02","0,08","R$ 33.257.502,10","R$ 95,77",1,"1,36%","-1,92%","-0,59%","0,53%",N/A,N/A,0
MFII11,Híbrido,"R$ 96,83", 2436.0 ,"R$ 1,10","0,01","0,03","0,07","0,13","0,01","0,01","0,01","0,09","0,04","0,05","-0,03","R$ 416.574.943,40","R$ 100,45","0,96","1,10%","-0,06%","1,03%","0,59%",N/A,N/A,9
CPTS11,Títulos e Val. Mob.,"R$ 90,79", 64917.0 ,"R$ 1,10","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,09","0,02","0,03","0,03","R$ 2.899.539.421,26","R$ 91,23",1,"1,21%","-2,31%","-1,13%","0,61%",N/A,N/A,0
GTLG11,,"R$ 98,00", 100.0 ,"R$ 0,70","0,01","0,02","0,04","0,00","0,01","0,01","0,00","0,06","0,00","0,01","0,07","R$ 666.682.130,07","R$ 92,94","1,05","0,75%","-0,03%","0,73%","0,63%",N/A,N/A,0
RBRY11,Títulos e Val. Mob.,"R$ 101,58", 15473.0 ,"R$ 1,20","0,01","0,04","0,08","0,14","0,01","0,01","0,01","0,10","0,02","0,04","0,07","R$ 553.285.484,45","R$ 99,73","1,02","1,20%","-2,64%","-1,47%","0,79%",N/A,N/A,0
TRNT11,Lajes Corporativas,"R$ 112,96", 2.0 ,"R$ 0,28","0,00","0,01","0,02","0,04","0,00","0,00","0,00","0,03","-0,02","-0,02","0,07","R$ 797.038.659,97","R$ 202,52","0,56","0,14%","0,02%","0,16%","0,81%","0,50",N/A,1
TGAR11,Outros,"R$ 128,99", 34539.0 ,"R$ 1,59","0,01","0,04","0,08","0,13","0,01","0,01","0,01","0,10","0,05","0,06","0,13","R$ 1.377.514.199,65","R$ 121,80","1,06","1,31%","-0,85%","0,44%","1,15%",N/A,N/A,0
RBGS11,Shoppings,"R$ 28,45", 5157.0 ,"R$ 0,18","0,01","0,02","0,03","0,05","0,01","0,00","0,00","0,05","-0,02","-0,01","-0,29","R$ 97.865.283,71","R$ 90,78","0,31","0,18%","0,00%","0,18%","1,17%","0,13",N/A,1
MCCI11,Títulos e Val. Mob.,"R$ 97,40", 20345.0 ,"R$ 1,10","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,01","0,02","0,05","R$ 1.369.340.938,72","R$ 93,83","1,04","1,17%","-2,98%","-1,85%","1,22%",N/A,N/A,0
BTLG11,Logística,"R$ 104,00", 48104.0 ,"R$ 0,74","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,05","0,04","0,05","0,05","R$ 1.504.876.179,16","R$ 98,82","1,05","0,73%","-0,22%","0,51%","1,24%",N/A,"0,02",16
HGRE11,Lajes Corporativas,"R$ 142,51", 14832.0 ,"R$ 0,78","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,16","0,17","0,13","R$ 1.912.841.196,87","R$ 161,86","0,88","0,48%","-0,09%","0,40%","1,29%","0,27","0,29",21
MFAI11,Híbrido,"R$ 67,00", 965.0 ,"R$ 0,67","0,01","0,03","0,06","0,12","0,01","0,01","0,01","0,08","0,07","0,08","-0,05","R$ 24.142.001,77","R$ 78,06","0,86","0,86%","6,46%","7,37%","1,32%",N/A,N/A,0
IRIM11,Híbrido,"R$ 102,30", 1830.0 ,"R$ 1,16","0,01","0,04","0,08","0,00","0,01","0,01","0,00","0,11","0,06","0,07","0,08","R$ 189.039.106,90","R$ 98,46","1,04","1,18%","-1,92%","-0,77%","1,34%",N/A,N/A,0
VSHO11,Shoppings,"R$ 79,60", 232.0 ,"R$ 0,59","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,01","0,02","0,08","R$ 206.893.825,43","R$ 98,58","0,81","0,60%","-0,08%","0,52%","1,43%","0,13",N/A,3
VVPR11,Híbrido,"R$ 99,91", 158.0 ,"R$ 0,73","0,01","0,02","0,05","0,10","0,01","0,01","0,01","0,06","0,01","0,01","0,13","R$ 238.445.073,76","R$ 103,41","0,97","0,74%","0,02%","0,76%","1,53%","0,00",N/A,6
BICE11,Títulos e Val. Mob.,"R$ 950,00", 240.0 ,"R$ 5,40","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 20.682.601,39","R$ 981,57","0,97","1,63%","-0,68%","0,93%","1,54%",N/A,N/A,0
SCPF11,Shoppings,"R$ 6,05", 765.0 ,"R$ 0,01","0,00","0,01","0,02","0,03","0,00","0,00","0,00","0,02","0,29","0,29","-0,10","R$ 52.643.237,78","R$ 12,53","0,48","0,09%","0,17%","0,26%","1,55%","0,29",N/A,1
XPHT11,Hotel,"R$ 112,50", 2.0 ,"R$ 0,65","0,01","0,02","0,02","0,05","0,01","0,00","0,00","0,02","0,00","0,01","0,14","R$ 357.911.232,04","R$ 94,07","1,2","0,57%","0,01%","0,58%","1,57%","0,65",N/A,5
RMAI11,Lajes Corporativas,"R$ 45,00", 80.0 ,"R$ 0,26","0,01","0,02","0,04","0,06","0,01","0,01","0,01","0,06","0,20","0,20","0,13","R$ 264.537.590,09","R$ 108,25","0,42","0,24%","0,00%","0,24%","1,61%","0,23",N/A,1
PATC11,Lajes Corporativas,"R$ 76,14", 700.0 ,"R$ 0,34","0,00","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,08","0,08","0,15","R$ 297.230.603,25","R$ 85,47","0,89","0,40%","-1,74%","-1,35%","1,65%","0,22","0,19",6
CEOC11,Lajes Corporativas,"R$ 60,31", 1067.0 ,"R$ 0,50","0,01","0,02","0,05","0,10","0,01","0,01","0,01","0,07","0,02","0,03","0,14","R$ 163.369.617,86","R$ 89,98","0,67","0,56%","-0,16%","0,40%","1,65%","0,00",N/A,1
PVBI11,Lajes Corporativas,"R$ 97,75", 24721.0 ,"R$ 0,56","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,04","0,08","0,09","0,16","R$ 996.236.330,26","R$ 99,23","0,99","0,56%","0,10%","0,66%","1,65%","0,00",N/A,4
CXRI11,Híbrido,"R$ 69,79", 6.0 ,"R$ 0,55","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,07","0,11","0,12","0,08","R$ 129.809.519,46","R$ 82,38","0,85","0,67%","-0,14%","0,53%","1,66%",N/A,N/A,0
GCRI11,Títulos e Val. Mob.,"R$ 93,81", 1386.0 ,"R$ 1,25","0,01","0,04","0,09","0,16","0,01","0,01","0,01","0,10","-0,02","-0,01","0,07","R$ 98.377.736,44","R$ 98,35","0,95","1,50%","-1,03%","0,46%","1,67%",N/A,N/A,0
HUSI11,Hospital,"R$ 1.071,00", 1.0 ,"R$ 7,95","0,01","0,00","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","R$ 115.398.177,82","R$ 991,72","1,08","0,80%","0,88%","1,69%","1,69%",N/A,N/A,0
MALL11,Shoppings,"R$ 109,10", 18076.0 ,"R$ 0,77","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,09","0,10","0,20","R$ 813.345.477,18","R$ 107,58","1,01","0,70%","-0,06%","0,63%","1,77%","0,04",N/A,8
RECT11,Híbrido,"R$ 62,74", 8796.0 ,"R$ 0,50","0,01","0,03","0,05","0,10","0,01","0,01","0,01","0,06","0,04","0,05","-0,04","R$ 815.066.407,27","R$ 95,40","0,66","0,53%","1,12%","1,65%","1,85%","0,15",N/A,8
BMLC11,Lajes Corporativas,"R$ 101,00", 7.0 ,"R$ 0,72","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","-0,02","-0,01","0,13","R$ 109.067.209,47","R$ 109,24","0,92","0,86%","-0,01%","0,85%","1,94%","0,07",N/A,2
ERPA11,,"R$ 120,00", 11.0 ,"R$ 0,70","0,01","0,01","0,00","0,00","0,00","0,00","0,00","0,01","0,00","0,01","0,01","R$ 58.214.292,91","R$ 116,21","1,03","0,57%","0,02%","0,58%","1,95%",N/A,N/A,0
MGFF11,Títulos e Val. Mob.,"R$ 66,05", 10480.0 ,"R$ 0,55","0,01","0,03","0,06","0,10","0,01","0,01","0,01","0,07","0,12","0,13","0,14","R$ 704.621.323,90","R$ 77,85","0,85","0,71%","2,28%","3,00%","2,09%",N/A,N/A,0
RBRR11,Títulos e Val. Mob.,"R$ 95,98", 29618.0 ,"R$ 1,00","0,01","0,03","0,07","0,13","0,01","0,01","0,01","0,09","-0,02","-0,01","0,02","R$ 1.295.152.748,04","R$ 96,37",1,"1,04%","-0,19%","0,85%","2,20%",N/A,N/A,0
MXRF11,Híbrido,"R$ 10,26", 601914.0 ,"R$ 0,11","0,01","0,03","0,07","0,12","0,01","0,01","0,01","0,09","0,05","0,06","0,24","R$ 2.302.693.543,19","R$ 10,19","1,01","0,98%","-0,02%","0,96%","2,22%",N/A,N/A,0
JRDM11,Shoppings,"R$ 85,90", 347.0 ,"R$ 0,62","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,04","0,08","0,09","0,21","R$ 220.883.480,71","R$ 87,55","0,98","0,56%","0,15%","0,72%","2,22%","0,03",N/A,1
BTCR11,Títulos e Val. Mob.,"R$ 94,68", 11239.0 ,"R$ 0,95","0,01","0,03","0,07","0,13","0,01","0,01","0,01","0,10","-0,03","-0,02","0,13","R$ 456.444.958,28","R$ 94,89",1,"1,00%","-0,79%","0,20%","2,26%",N/A,N/A,0
LVBI11,Logística,"R$ 111,44", 17326.0 ,"R$ 0,75","0,01","0,02","0,04","0,09","0,01","0,01","0,01","0,05","0,15","0,16","0,21","R$ 1.360.439.203,91","R$ 115,53","0,96","0,64%","0,63%","1,28%","2,48%","0,01","0,00",10
VINO11,Lajes Corporativas,"R$ 49,74", 27744.0 ,"R$ 0,34","0,01","0,02","0,04","0,10","0,01","0,01","0,01","0,06","0,14","0,15","0,03","R$ 896.316.391,45","R$ 54,11","0,92","0,63%","0,60%","1,23%","2,62%","0,04",N/A,9
SHPH11,Shoppings,"R$ 823,02", 123.0 ,"R$ 4,25","0,01","0,02","0,03","0,06","0,01","0,00","0,00","0,04","0,11","0,12","0,03","R$ 541.097.847,39","R$ 888,58","0,93","0,50%","-0,02%","0,48%","2,65%","0,11",N/A,1
TEPP11,Lajes Corporativas,"R$ 84,00", 5575.0 ,"R$ 0,49","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,15","0,15","0,19","R$ 380.197.399,54","R$ 90,05","0,93","0,54%","0,02%","0,56%","2,74%","0,09","0,18",5
FAED11,Outros,"R$ 154,50", 808.0 ,"R$ 1,54","0,01","0,03","0,06","0,11","0,01","0,01","0,01","0,08","0,09","0,10","0,12","R$ 138.829.055,55","R$ 216,19","0,71","0,71%","-0,01%","0,71%","2,75%","0,00",N/A,3
BCFF11,Títulos e Val. Mob.,"R$ 73,10", 34779.0 ,"R$ 0,56","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,07","0,07","0,08","0,09","R$ 1.974.358.766,03","R$ 78,39","0,93","0,71%","1,68%","2,40%","2,83%",N/A,N/A,0
RCRB11,Lajes Corporativas,"R$ 144,07", 5528.0 ,"R$ 0,72","0,01","0,02","0,03","0,06","0,01","0,01","0,01","0,04","0,12","0,12","0,11","R$ 727.398.700,58","R$ 197,09","0,73","0,37%","1,19%","1,56%","2,83%","0,28",N/A,10
HSML11,Shoppings,"R$ 93,25", 23533.0 ,"R$ 0,67","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,18","0,18","0,28","R$ 1.547.656.456,45","R$ 98,07","0,95","0,68%","-0,83%","-0,15%","2,85%","0,05",N/A,6
IRDM11,Títulos e Val. Mob.,"R$ 102,20", 49426.0 ,"R$ 1,27","0,01","0,04","0,07","0,14","0,01","0,01","0,01","0,09","0,01","0,03","0,03","R$ 3.461.431.680,17","R$ 95,01","1,08","1,33%","-0,32%","1,00%","2,89%",N/A,N/A,0
WPLZ11,Shoppings,"R$ 83,00", 88.0 ,"R$ 0,50","0,01","0,02","0,03","0,05","0,01","0,01","0,00","0,04","0,12","0,12","0,10","R$ 105.035.692,82","R$ 102,90","0,81","0,49%","0,03%","0,52%","2,98%","0,11",N/A,1
FIGS11,Shoppings,"R$ 55,84", 4073.0 ,"R$ 0,37","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,21","0,22","0,14","R$ 283.838.691,76","R$ 99,59","0,56","0,37%","0,10%","0,47%","3,00%","0,14",N/A,2
LASC11,Shoppings,"R$ 92,00", 135.0 ,"R$ 0,36","0,00","0,01","0,03","0,07","0,00","0,01","0,01","0,04","0,00","0,00","0,07","R$ 284.506.676,14","R$ 112,98","0,81","0,32%","0,80%","1,12%","3,07%","0,02",N/A,3
HLOG11,Logística,"R$ 96,50", 582.0 ,"R$ 0,65","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,06","0,11","0,12","0,10","R$ 471.343.638,57","R$ 110,90","0,87","0,59%","-0,05%","0,54%","3,16%","0,58","0,00",3
JSRE11,Híbrido,"R$ 87,00", 30064.0 ,"R$ 0,49","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,16","0,16","0,16","R$ 2.359.678.921,37","R$ 113,62","0,77","0,43%","0,11%","0,55%","3,19%","0,15","0,13",5
FVPQ11,Shoppings,"R$ 117,09", 285.0 ,"R$ 0,52","0,00","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,04","0,04","0,23","R$ 555.549.403,82","R$ 198,40","0,59","0,26%","-0,27%","-0,01%","3,20%","0,06",N/A,1
HOSI11,Híbrido,"R$ 64,90", 1513.0 ,"R$ 0,44","0,01","0,02","0,03","0,07","0,01","0,01","0,01","0,04","0,04","0,04","-0,02","R$ 53.096.192,59","R$ 92,59","0,7","0,48%","0,30%","0,78%","3,21%",N/A,N/A,2
FPAB11,Lajes Corporativas,"R$ 211,00", 47.0 ,"R$ 1,60","0,01","0,02","0,05","0,08","0,01","0,01","0,01","0,06","0,07","0,08","0,05","R$ 307.733.012,09","R$ 410,31","0,51","0,39%","0,05%","0,44%","3,25%","0,34",N/A,1
CRFF11,Títulos e Val. Mob.,"R$ 73,71", 1059.0 ,"R$ 0,61","0,01","0,03","0,05","0,09","0,01","0,01","0,01","0,07","0,16","0,17","0,17","R$ 58.346.183,81","R$ 84,55","0,87","0,70%","-0,29%","0,41%","3,28%",N/A,N/A,0
FLRP11,Shoppings,"R$ 1.515,04", 6.0 ,"R$ 10,00","0,01","0,02","0,05","0,08","0,01","0,01","0,01","0,05","0,05","0,06","0,39","R$ 112.693.577,60","R$ 1.727,58","0,88","0,58%","0,48%","1,06%","3,30%","0,02",N/A,1
ERCR11,Híbrido,"R$ 76.000,00", 1.0 ,"R$ 783,96","0,00","0,00","0,00","0,00","0,00","0,00","0,00",N/A,"0,00","0,00","0,00","R$ 165.915.282,64","R$ 69.829,66","1,09","1,12%","-0,10%","1,02%","3,32%",N/A,N/A,0
CVBI11,Títulos e Val. Mob.,"R$ 91,63", 21526.0 ,"R$ 0,74","0,01","0,03","0,07","0,14","0,01","0,01","0,01","0,09","-0,06","-0,05","-0,01","R$ 1.035.178.052,64","R$ 94,02","0,97","0,79%","-5,82%","-5,08%","3,35%",N/A,N/A,0
HUSC11,Outros,"R$ 119,50", 98.0 ,"R$ 0,96","0,01","0,03","0,05","0,08","0,01","0,01","0,01","0,06","0,03","0,04","0,00","R$ 113.468.692,97","R$ 142,80","0,84","0,67%","0,01%","0,68%","3,36%",N/A,N/A,0
VLOL11,Lajes Corporativas,"R$ 108,64", 1328.0 ,"R$ 0,59","0,01","0,02","0,04","0,07","0,01","0,01","0,01","0,05","0,08","0,08","0,18","R$ 184.914.145,46","R$ 103,60","1,05","0,57%","-0,02%","0,55%","3,45%","0,00",N/A,1
GGRC11,Logística,"R$ 118,96", 10915.0 ,"R$ 0,90","0,01","0,02","0,05","0,09","0,01","0,01","0,01","0,06","0,14","0,15","0,10","R$ 1.005.415.985,23","R$ 129,59","0,92","0,69%","0,11%","0,81%","3,55%","0,00","0,00",20
RELG11,Híbrido,"R$ 85,23", 4228.0 ,"R$ 0,80","0,01","0,03","0,07","0,13","0,01","0,01","0,01","0,09","0,14","0,15","0,23","R$ 159.157.094,89","R$ 119,26","0,71","0,67%","-0,31%","0,35%","3,59%","0,10","0,10",3
VISC11,Shoppings,"R$ 109,85", 27386.0 ,"R$ 0,72","0,01","0,02","0,04","0,08","0,01","0,01","0,01","0,05","0,11","0,12","0,18","R$ 2.029.243.347,36","R$ 114,67","0,96","0,63%","-0,04%","0,58%","3,64%","0,08",N/A,15
